"v1013","mes_nome","moradia","nivel_protecao_domiciliar","n_amostra","populacao_estimada","pct_pegou_emprestimo","pct_recebeu_seguro_desemprego","pct_internado_entre_atendidos","media_itens_protecao"
"10","Outubro","Outra condicao","Protecao intermediaria","86","43671.0","100.0","0.0",,"2.7922"
"10","Outubro","Proprio ja pago","Baixa protecao","313","159119.0","100.0","3.0672",,"1.0"
"10","Outubro","Cedido de outra forma","Protecao intermediaria","400","178103.0","87.2188","1.5124","0.0","2.8503"
"10","Outubro","Proprio ja pago","Protecao intermediaria","10401","4890337.0","83.0489","0.9038","22.3892","2.8781"
"10","Outubro","Cedido de outra forma","Alta protecao","3674","1773163.0","79.0324","0.863","27.0167","4.3398"
"10","Outubro","Proprio ainda pagando","Protecao intermediaria","474","353684.0","98.924","1.7053","0.0","2.8778"
"10","Outubro","Cedido por empregador","Baixa protecao","5","3429.0",,"0.0",,"1.0"
"10","Outubro","Alugado","Nenhum item","43","21405.0","100.0","0.0",,"0.0"
"10","Outubro","Cedido por empregador","Alta protecao","7848","2624961.0","77.1875","2.0023","2.4695","4.3506"
"10","Outubro","Proprio ainda pagando","Nenhum item","26","14398.0",,"0.0",,"0.0"
"10","Outubro","Cedido por familiar","Baixa protecao","69","28003.0","100.0","0.0",,"1.0"
"10","Outubro","Alugado","Protecao intermediaria","2354","1358024.0","73.3006","3.634","7.2076","2.8619"
"10","Outubro","Cedido por empregador","Nenhum item","14","4452.0",,"0.0","0.0","0.0"
"10","Outubro","Proprio ja pago","Nenhum item","238","103756.0","75.2933","0.0249","0.0","0.0"
"10","Outubro","Alugado","Baixa protecao","75","54301.0","16.7968","4.133",,"1.0"
"11","Novembro","Proprio ainda pagando","Baixa protecao","4","1147.0",,"0.0",,"1.0"
"9","Setembro","Outra condicao","Baixa protecao","8","6221.0",,"0.0",,"1.0"
"9","Setembro","Alugado","Nenhum item","34","23930.0",,"3.6642","0.0","0.0"
"10","Outubro","Cedido de outra forma","Baixa protecao","14","7701.0","100.0","0.0",,"1.0"
"11","Novembro","Cedido por familiar","Nenhum item","58","36780.0","78.5702","0.0",,"0.0"
"9","Setembro","Cedido de outra forma","Baixa protecao","13","4631.0","100.0","0.0",,"1.0"
"9","Setembro","Cedido por empregador","Nenhum item","9","4057.0",,"0.0",,"0.0"
"9","Setembro","Outra condicao","Nenhum item","8","6211.0","100.0","0.0",,"0.0"
"9","Setembro","Cedido por empregador","Baixa protecao","4","882.0",,"0.0",,"1.0"
"11","Novembro","Proprio ainda pagando","Nenhum item","21","11067.0",,"0.0",,"0.0"
"11","Novembro","Cedido de outra forma","Nenhum item","5","2337.0","100.0","0.0",,"0.0"
"11","Novembro","Cedido de outra forma","Baixa protecao","5","2501.0","100.0","0.0",,"1.0"
"10","Outubro","Outra condicao","Nenhum item","8","6124.0","100.0","0.0",,"0.0"
"10","Outubro","Proprio ainda pagando","Baixa protecao","9","8472.0",,"0.0",,"1.0"
"9","Setembro","Proprio ainda pagando","Baixa protecao","5","3643.0",,"0.0",,"1.0"
