"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"11","Novembro","Feminino","Parda","30-39","Superior completo","2 a 4 SM","495","316623.0"
"10","Outubro","Masculino","Preta","40-49","Medio completo","1 a 2 SM","315","210762.0"
"10","Outubro","Masculino","Parda","30-39","Medio completo","2 a 4 SM","686","514992.0"
"10","Outubro","Feminino","Parda","40-49","Medio incompleto","Sem informacao","540","255872.0"
"10","Outubro","Feminino","Branca","40-49","Medio completo","1 a 2 SM","1022","636811.0"
"11","Novembro","Feminino","Parda","60+","Medio incompleto","Ate 1 SM","43","17538.0"
"11","Novembro","Feminino","Parda","50-59","Fundamental incompleto","1 a 2 SM","333","155876.0"
"11","Novembro","Feminino","Branca","18-29","Superior completo","1 a 2 SM","656","498506.0"
"11","Novembro","Masculino","Branca","50-59","Fundamental completo","2 a 4 SM","200","109252.0"
"11","Novembro","Feminino","Preta","18-29","Medio completo","1 a 2 SM","178","139518.0"
"11","Novembro","Masculino","Branca","60+","Superior completo","Sem informacao","1136","645030.0"
"11","Novembro","Feminino","Parda","18-29","Medio completo","Acima 4 SM","9","7143.0"
"10","Outubro","Feminino","Branca","60+","Sem instrucao","Sem informacao","1710","717107.0"
"10","Outubro","Masculino","Parda","30-39","Medio completo","1 a 2 SM","1917","1310815.0"
"10","Outubro","Feminino","Branca","40-49","Fundamental completo","1 a 2 SM","248","132746.0"
"10","Outubro","Feminino","Branca","18-29","Superior completo","Sem informacao","587","420495.0"
"10","Outubro","Masculino","Branca","40-49","Medio completo","2 a 4 SM","821","540977.0"
"10","Outubro","Masculino","Branca","40-49","Superior completo","1 a 2 SM","279","167212.0"
"10","Outubro","Masculino","Parda","50-59","Medio completo","Sem informacao","675","353259.0"
"10","Outubro","Feminino","Branca","60+","Medio incompleto","Sem informacao","532","264435.0"
"10","Outubro","Feminino","Branca","50-59","Superior completo","Ate 1 SM","121","65209.0"
"10","Outubro","Feminino","Branca","40-49","Superior completo","Sem informacao","581","364017.0"
"10","Outubro","Masculino","Branca","40-49","Medio completo","Acima 4 SM","271","190184.0"
"10","Outubro","Masculino","Branca","30-39","Pos-graduacao","1 a 2 SM","65","44159.0"
"10","Outubro","Feminino","Branca","30-39","Fundamental completo","Ate 1 SM","127","67239.0"
"10","Outubro","Masculino","Preta","18-29","Fundamental incompleto","1 a 2 SM","68","49292.0"
"10","Outubro","Feminino","Branca","30-39","Superior incompleto","2 a 4 SM","123","86832.0"
"10","Outubro","Masculino","Preta","40-49","Medio completo","2 a 4 SM","121","85680.0"
"10","Outubro","Masculino","Parda","18-29","Fundamental incompleto","Ate 1 SM","701","391694.0"
"10","Outubro","Feminino","Parda","30-39","Fundamental completo","1 a 2 SM","112","86834.0"
"10","Outubro","Feminino","Branca","18-29","Pos-graduacao","2 a 4 SM","103","62194.0"
"10","Outubro","Masculino","Amarela","18-29","Medio completo","1 a 2 SM","15","13311.0"
"10","Outubro","Masculino","Branca","30-39","Superior completo","Ate 1 SM","113","78527.0"
"10","Outubro","Feminino","Preta","30-39","Pos-graduacao","2 a 4 SM","45","33478.0"
"10","Outubro","Masculino","Amarela","60+","Superior incompleto","Sem informacao","8","8098.0"
"10","Outubro","Feminino","Amarela","30-39","Medio incompleto","Acima 4 SM","1","3133.0"
"10","Outubro","Masculino","Amarela","30-39","Fundamental completo","Ate 1 SM","2","1999.0"
"10","Outubro","Feminino","Amarela","30-39","Medio completo","Sem informacao","28","17743.0"
"10","Outubro","Masculino","Amarela","40-49","Superior completo","Acima 4 SM","9","10631.0"
"10","Outubro","Feminino","Parda","60+","Medio completo","Ate 1 SM","142","66508.0"
"10","Outubro","Masculino","Preta","30-39","Superior incompleto","2 a 4 SM","34","22255.0"
"10","Outubro","Feminino",,"30-39","Sem instrucao","Sem informacao","1","2031.0"
"10","Outubro","Feminino","Parda","60+","Fundamental completo","2 a 4 SM","11","8204.0"
"10","Outubro","Masculino","Branca","18-29","Medio incompleto","Sem informacao","861","548678.0"
"10","Outubro","Feminino","Branca","30-39","Fundamental completo","Sem informacao","349","183411.0"
"10","Outubro","Feminino","Parda","30-39","Medio completo","1 a 2 SM","1129","715060.0"
"10","Outubro","Feminino","Branca","40-49","Fundamental incompleto","Ate 1 SM","540","237236.0"
"10","Outubro","Feminino","Parda","0-17","Medio incompleto","Sem informacao","3130","1610555.0"
"10","Outubro","Feminino","Branca","50-59","Superior completo","2 a 4 SM","469","262837.0"
"10","Outubro","Masculino","Parda","40-49","Medio incompleto","2 a 4 SM","103","45769.0"
"10","Outubro","Feminino","Indigena","0-17","Sem instrucao","Sem informacao","52","21792.0"
"9","Setembro","Masculino","Branca","30-39","Superior incompleto","Sem informacao","159","105490.0"
"9","Setembro","Masculino","Branca","40-49","Superior completo","2 a 4 SM","459","306541.0"
"9","Setembro","Feminino","Branca","50-59","Fundamental incompleto","1 a 2 SM","397","197224.0"
"9","Setembro","Masculino","Branca","40-49","Superior incompleto","1 a 2 SM","110","79801.0"
"9","Setembro","Feminino","Preta","40-49","Superior completo","Acima 4 SM","37","24693.0"
"9","Setembro","Masculino","Preta","50-59","Medio completo","Acima 4 SM","28","16174.0"
"9","Setembro","Masculino","Branca","60+","Fundamental incompleto","2 a 4 SM","224","92487.0"
"9","Setembro","Masculino","Preta","50-59","Medio completo","1 a 2 SM","146","102757.0"
"9","Setembro","Masculino","Parda","18-29","Medio completo","Ate 1 SM","1910","1123416.0"
"9","Setembro","Feminino","Parda","40-49","Superior completo","1 a 2 SM","443","202476.0"
"9","Setembro","Masculino","Parda","18-29","Fundamental completo","Ate 1 SM","281","157155.0"
"9","Setembro","Masculino","Branca","50-59","Fundamental incompleto","Acima 4 SM","92","32410.0"
"9","Setembro","Feminino","Preta","18-29","Fundamental incompleto","1 a 2 SM","9","7275.0"
"9","Setembro","Feminino","Indigena","18-29","Medio completo","1 a 2 SM","5","4753.0"
"9","Setembro","Masculino","Preta","50-59","Fundamental completo","Sem informacao","79","47836.0"
"10","Outubro","Feminino","Preta","18-29","Superior incompleto","Sem informacao","297","193712.0"
"10","Outubro","Masculino","Preta","0-17","Sem instrucao","Sem informacao","668","477460.0"
"10","Outubro","Masculino","Branca","18-29","Medio incompleto","1 a 2 SM","417","285875.0"
"10","Outubro","Masculino","Branca","18-29","Medio completo","Ate 1 SM","897","576027.0"
"10","Outubro","Feminino","Preta","60+","Fundamental completo","1 a 2 SM","12","7141.0"
"10","Outubro","Feminino","Branca","60+","Medio completo","Sem informacao","2858","1446108.0"
"10","Outubro","Feminino","Branca","40-49","Medio incompleto","Ate 1 SM","164","89406.0"
"10","Outubro","Feminino","Parda","30-39","Fundamental completo","Sem informacao","649","334145.0"
"10","Outubro","Masculino","Parda","40-49","Fundamental completo","Ate 1 SM","309","155999.0"
"10","Outubro","Feminino","Parda","50-59","Medio completo","1 a 2 SM","533","248389.0"
"10","Outubro","Feminino","Preta","40-49","Fundamental incompleto","Ate 1 SM","210","110331.0"
"10","Outubro","Feminino","Preta","18-29","Medio completo","Sem informacao","770","506285.0"
"10","Outubro","Masculino","Parda","30-39","Superior incompleto","2 a 4 SM","181","121153.0"
"10","Outubro","Masculino","Amarela","60+","Fundamental incompleto","Sem informacao","48","24450.0"
"10","Outubro","Masculino","Parda","30-39","Medio incompleto","1 a 2 SM","471","295415.0"
"11","Novembro","Feminino","Parda","18-29","Medio completo","Sem informacao","4832","2748816.0"
"11","Novembro","Feminino","Branca","30-39","Pos-graduacao","Acima 4 SM","394","303883.0"
"10","Outubro","Masculino","Parda","60+","Superior completo","Ate 1 SM","13","5594.0"
"10","Outubro","Feminino","Parda","18-29","Fundamental completo","Sem informacao","517","292427.0"
"10","Outubro","Masculino","Parda","50-59","Sem instrucao","1 a 2 SM","79","33803.0"
"10","Outubro","Feminino","Branca","18-29","Fundamental completo","1 a 2 SM","65","37723.0"
"10","Outubro","Feminino","Branca","40-49","Superior incompleto","Ate 1 SM","79","39301.0"
"10","Outubro","Feminino","Branca","30-39","Pos-graduacao","Acima 4 SM","392","306817.0"
"10","Outubro","Masculino","Branca","60+","Medio completo","Ate 1 SM","127","52867.0"
"10","Outubro","Feminino","Parda","30-39","Pos-graduacao","Acima 4 SM","158","95876.0"
"11","Novembro","Feminino","Branca","40-49","Superior incompleto","Acima 4 SM","41","25503.0"
"11","Novembro","Feminino","Branca","40-49","Pos-graduacao","Acima 4 SM","450","270001.0"
"11","Novembro","Masculino","Branca","0-17","Sem instrucao","Sem informacao","5754","4084802.0"
"11","Novembro","Feminino","Preta","50-59","Fundamental completo","Sem informacao","163","88344.0"
"11","Novembro","Masculino","Parda","30-39","Sem instrucao","Ate 1 SM","59","28892.0"
"11","Novembro","Masculino","Branca","40-49","Superior incompleto","Acima 4 SM","112","77765.0"
"11","Novembro","Masculino","Branca","18-29","Medio incompleto","1 a 2 SM","407","269014.0"
"11","Novembro","Masculino","Branca","60+","Superior completo","2 a 4 SM","195","114132.0"
"11","Novembro","Masculino","Preta","60+","Superior completo","Sem informacao","77","37690.0"
"11","Novembro","Feminino","Parda","40-49","Fundamental incompleto","1 a 2 SM","342","191920.0"
"11","Novembro","Feminino","Branca","60+","Superior completo","1 a 2 SM","107","62668.0"
"11","Novembro","Masculino","Branca","40-49","Medio completo","Ate 1 SM","381","202826.0"
"11","Novembro","Feminino","Branca","30-39","Pos-graduacao","2 a 4 SM","364","234411.0"
"11","Novembro","Masculino","Branca","18-29","Superior incompleto","Sem informacao","1279","860465.0"
"11","Novembro","Masculino","Branca","18-29","Medio completo","Sem informacao","1590","1076554.0"
"11","Novembro","Feminino","Parda","50-59","Fundamental incompleto","Sem informacao","3709","1460247.0"
"11","Novembro","Masculino","Parda","40-49","Pos-graduacao","2 a 4 SM","81","39698.0"
"11","Novembro","Masculino","Parda","18-29","Fundamental incompleto","Ate 1 SM","680","395874.0"
"11","Novembro","Masculino","Branca","40-49","Superior completo","2 a 4 SM","437","294694.0"
"11","Novembro","Masculino","Parda","18-29","Sem instrucao","Sem informacao","130","75135.0"
"11","Novembro","Feminino","Amarela","40-49","Fundamental completo","Sem informacao","5","1847.0"
"11","Novembro","Feminino","Amarela","60+","Fundamental incompleto","Sem informacao","79","41190.0"
"11","Novembro","Feminino","Parda","60+","Pos-graduacao","Acima 4 SM","27","8978.0"
"11","Novembro","Feminino","Parda","50-59","Fundamental completo","2 a 4 SM","25","16184.0"
"11","Novembro","Feminino","Preta","60+","Medio completo","2 a 4 SM","9","3851.0"
"11","Novembro","Masculino","Indigena","50-59","Fundamental incompleto","Sem informacao","17","5383.0"
"9","Setembro","Masculino","Branca","50-59","Fundamental incompleto","1 a 2 SM","941","440945.0"
"9","Setembro","Feminino","Parda","50-59","Fundamental incompleto","Sem informacao","3781","1459761.0"
"9","Setembro","Feminino","Indigena","30-39","Medio completo","1 a 2 SM","8","3648.0"
"9","Setembro","Masculino","Branca","50-59","Medio completo","2 a 4 SM","588","311460.0"
"9","Setembro","Feminino","Branca","50-59","Superior completo","Sem informacao","782","432764.0"
"9","Setembro","Feminino","Branca","50-59","Fundamental completo","Ate 1 SM","213","115938.0"
"9","Setembro","Masculino","Parda","50-59","Superior completo","1 a 2 SM","81","37952.0"
"9","Setembro","Feminino","Preta","30-39","Medio completo","Sem informacao","538","317504.0"
"9","Setembro","Feminino","Preta","18-29","Medio completo","Sem informacao","802","504833.0"
"10","Outubro","Masculino","Preta","60+","Sem instrucao","1 a 2 SM","9","3662.0"
"10","Outubro","Feminino","Parda","18-29","Medio incompleto","Ate 1 SM","354","219781.0"
"10","Outubro","Masculino","Branca","30-39","Medio completo","2 a 4 SM","793","574161.0"
"10","Outubro","Masculino","Branca","60+","Medio completo","Acima 4 SM","132","64888.0"
"10","Outubro","Feminino","Parda","40-49","Medio incompleto","Ate 1 SM","265","134178.0"
"10","Outubro","Masculino","Preta","30-39","Fundamental completo","Sem informacao","55","31766.0"
"10","Outubro","Feminino","Parda","60+","Superior completo","2 a 4 SM","68","34567.0"
"10","Outubro","Masculino","Branca","60+","Superior incompleto","Acima 4 SM","51","32449.0"
"10","Outubro","Feminino","Preta","40-49","Medio completo","2 a 4 SM","40","29538.0"
"10","Outubro","Feminino","Preta","40-49","Superior incompleto","Acima 4 SM","5","3911.0"
"10","Outubro","Feminino","Amarela","30-39","Superior completo","Acima 4 SM","11","11842.0"
"10","Outubro","Feminino","Preta","40-49","Fundamental incompleto","Acima 4 SM","1","1361.0"
"10","Outubro","Masculino","Parda","60+","Superior completo","Acima 4 SM","106","43912.0"
"10","Outubro","Masculino","Preta","30-39","Superior completo","2 a 4 SM","84","60304.0"
"10","Outubro","Feminino","Amarela","50-59","Medio incompleto","Sem informacao","5","5991.0"
"10","Outubro","Masculino",,"0-17","Medio incompleto","Sem informacao","2","3486.0"
"10","Outubro","Feminino","Parda","60+","Sem instrucao","Ate 1 SM","62","32753.0"
"10","Outubro","Masculino","Preta","50-59","Superior completo","2 a 4 SM","24","12135.0"
"10","Outubro","Masculino","Parda","18-29","Pos-graduacao","2 a 4 SM","26","14268.0"
"9","Setembro","Feminino","Branca","18-29","Superior incompleto","Sem informacao","1854","1209335.0"
"9","Setembro","Masculino","Parda","18-29","Fundamental incompleto","Sem informacao","1225","623828.0"
"9","Setembro","Masculino","Parda","30-39","Superior completo","2 a 4 SM","426","274469.0"
"9","Setembro","Feminino","Branca","40-49","Fundamental completo","Ate 1 SM","186","102591.0"
"9","Setembro","Feminino","Indigena","60+","Fundamental incompleto","Sem informacao","47","17481.0"
"9","Setembro","Masculino","Branca","40-49","Superior incompleto","2 a 4 SM","153","97884.0"
"9","Setembro","Feminino","Branca","18-29","Pos-graduacao","1 a 2 SM","78","46798.0"
"9","Setembro","Feminino","Parda","40-49","Medio completo","Ate 1 SM","1037","497763.0"
"9","Setembro","Feminino","Preta","30-39","Superior completo","2 a 4 SM","124","97725.0"
"9","Setembro","Masculino","Preta","18-29","Fundamental incompleto","1 a 2 SM","69","45537.0"
"9","Setembro","Feminino","Branca","50-59","Pos-graduacao","Ate 1 SM","26","16075.0"
"9","Setembro","Feminino","Preta","50-59","Superior completo","Sem informacao","86","48167.0"
"9","Setembro","Masculino","Parda","30-39","Fundamental completo","1 a 2 SM","307","190531.0"
"9","Setembro","Feminino","Branca","30-39","Superior incompleto","2 a 4 SM","128","82148.0"
"9","Setembro","Feminino","Parda","30-39","Fundamental completo","1 a 2 SM","112","83226.0"
"9","Setembro","Masculino","Preta","60+","Superior incompleto","1 a 2 SM","4","2941.0"
"9","Setembro","Masculino","Parda","30-39","Superior incompleto","1 a 2 SM","224","134288.0"
"9","Setembro","Feminino","Branca","40-49","Fundamental completo","1 a 2 SM","255","135872.0"
"9","Setembro","Masculino","Parda","40-49","Superior completo","Sem informacao","120","64291.0"
"9","Setembro","Masculino","Amarela","18-29","Fundamental completo","Sem informacao","3","1620.0"
"9","Setembro","Masculino","Indigena","40-49","Fundamental incompleto","Sem informacao","9","3558.0"
"9","Setembro","Feminino","Parda","60+","Medio completo","Acima 4 SM","17","6115.0"
"9","Setembro","Masculino","Branca","30-39","Fundamental completo","Ate 1 SM","145","71228.0"
"9","Setembro","Masculino","Branca","50-59","Superior completo","Ate 1 SM","43","21756.0"
"9","Setembro","Feminino","Parda","30-39","Medio incompleto","Ate 1 SM","293","156343.0"
"10","Outubro","Masculino","Parda","0-17","Sem instrucao","Sem informacao","6412","3965151.0"
"10","Outubro","Feminino","Parda","30-39","Fundamental incompleto","1 a 2 SM","159","110503.0"
"10","Outubro","Masculino","Parda","18-29","Superior incompleto","Sem informacao","1167","697393.0"
"10","Outubro","Feminino","Preta","40-49","Medio incompleto","Sem informacao","95","58806.0"
"10","Outubro","Feminino","Parda","50-59","Fundamental incompleto","Ate 1 SM","906","387832.0"
"10","Outubro","Feminino","Branca","18-29","Superior completo","1 a 2 SM","675","497117.0"
"10","Outubro","Feminino","Branca","50-59","Superior completo","Acima 4 SM","426","244067.0"
"10","Outubro","Masculino","Branca","60+","Fundamental completo","2 a 4 SM","91","47085.0"
"10","Outubro","Masculino","Branca","50-59","Superior incompleto","Sem informacao","83","39153.0"
"10","Outubro","Feminino","Parda","30-39","Superior completo","1 a 2 SM","614","355691.0"
"10","Outubro","Feminino","Preta","0-17","Fundamental completo","Sem informacao","53","33390.0"
"10","Outubro","Masculino","Branca","18-29","Superior completo","2 a 4 SM","359","292594.0"
"10","Outubro","Masculino","Preta","60+","Fundamental incompleto","1 a 2 SM","97","45348.0"
"10","Outubro","Feminino","Branca","60+","Medio incompleto","2 a 4 SM","11","6761.0"
"10","Outubro","Masculino","Amarela","30-39","Superior completo","Acima 4 SM","13","11975.0"
"10","Outubro","Masculino","Preta","40-49","Fundamental incompleto","2 a 4 SM","63","36161.0"
"10","Outubro","Masculino","Branca","50-59","Superior incompleto","Acima 4 SM","88","65745.0"
"10","Outubro","Masculino","Branca","18-29","Pos-graduacao","Acima 4 SM","40","42210.0"
"10","Outubro","Feminino","Branca","50-59","Medio completo","Acima 4 SM","72","31797.0"
"10","Outubro","Feminino","Parda","60+","Medio incompleto","2 a 4 SM","7","3800.0"
"11","Novembro","Masculino","Parda","60+","Medio completo","Acima 4 SM","73","33165.0"
"11","Novembro","Feminino","Parda","18-29","Fundamental completo","Ate 1 SM","104","62493.0"
"11","Novembro","Feminino","Branca","40-49","Pos-graduacao","2 a 4 SM","374","201385.0"
"11","Novembro","Feminino","Preta","60+","Superior incompleto","Sem informacao","17","9988.0"
"11","Novembro","Feminino","Preta","50-59","Medio completo","Acima 4 SM","4","1223.0"
"11","Novembro","Feminino","Preta","50-59","Fundamental incompleto","1 a 2 SM","63","36299.0"
"11","Novembro","Masculino","Branca","50-59","Medio incompleto","Ate 1 SM","86","47630.0"
"11","Novembro","Masculino","Branca","18-29","Fundamental completo","1 a 2 SM","180","115679.0"
"11","Novembro","Masculino","Branca","60+","Superior completo","1 a 2 SM","104","48272.0"
"11","Novembro","Masculino","Branca","50-59","Pos-graduacao","Sem informacao","80","48603.0"
"11","Novembro","Feminino","Preta","18-29","Medio completo","Ate 1 SM","286","207847.0"
"11","Novembro","Feminino","Branca","50-59","Fundamental completo","1 a 2 SM","223","125821.0"
"10","Outubro","Feminino","Preta","18-29","Superior incompleto","Ate 1 SM","103","86573.0"
"10","Outubro","Feminino","Preta","50-59","Superior incompleto","1 a 2 SM","12","6029.0"
"10","Outubro","Masculino","Preta","50-59","Medio completo","1 a 2 SM","149","105468.0"
"10","Outubro","Masculino","Parda","60+","Superior incompleto","Sem informacao","82","42098.0"
"10","Outubro","Masculino","Preta","50-59","Medio incompleto","1 a 2 SM","47","29778.0"
"10","Outubro","Feminino","Preta","60+","Superior incompleto","1 a 2 SM","3","2894.0"
"10","Outubro","Masculino","Parda","18-29","Pos-graduacao","1 a 2 SM","17","10735.0"
"10","Outubro","Feminino","Indigena","18-29","Fundamental incompleto","Sem informacao","8","3730.0"
"10","Outubro","Masculino","Preta","18-29","Superior incompleto","Ate 1 SM","74","54968.0"
"10","Outubro","Masculino","Amarela","50-59","Superior completo","Sem informacao","5","4166.0"
"10","Outubro","Feminino","Preta","60+","Sem instrucao","Ate 1 SM","16","4910.0"
"10","Outubro","Feminino","Parda","50-59","Superior completo","1 a 2 SM","245","102497.0"
"10","Outubro","Feminino","Amarela","60+","Superior completo","Acima 4 SM","5","4531.0"
"10","Outubro","Masculino","Branca","50-59","Pos-graduacao","Ate 1 SM","3","439.0"
"10","Outubro","Masculino","Branca","50-59","Medio incompleto","Sem informacao","173","94973.0"
"10","Outubro","Feminino","Branca","40-49","Fundamental incompleto","Sem informacao","1556","701798.0"
"11","Novembro","Masculino","Parda","18-29","Medio incompleto","1 a 2 SM","559","384592.0"
"11","Novembro","Feminino","Parda","30-39","Fundamental incompleto","1 a 2 SM","153","99933.0"
"11","Novembro","Masculino","Parda","18-29","Medio incompleto","Sem informacao","1906","1071524.0"
"11","Novembro","Masculino","Branca","0-17","Fundamental completo","Sem informacao","263","145618.0"
"11","Novembro","Masculino","Branca","30-39","Fundamental completo","2 a 4 SM","89","51251.0"
"11","Novembro","Masculino","Branca","50-59","Medio completo","Ate 1 SM","259","135064.0"
"11","Novembro","Feminino","Preta","30-39","Medio incompleto","Sem informacao","138","91787.0"
"11","Novembro","Feminino","Branca","40-49","Superior completo","Ate 1 SM","170","83208.0"
"11","Novembro","Masculino","Branca","18-29","Medio completo","Acima 4 SM","52","34472.0"
"11","Novembro","Masculino","Parda","50-59","Fundamental incompleto","Sem informacao","1868","765120.0"
"11","Novembro","Masculino","Preta","50-59","Superior completo","Sem informacao","33","17864.0"
"11","Novembro","Feminino","Parda","50-59","Medio completo","2 a 4 SM","142","66337.0"
"11","Novembro","Masculino","Preta","30-39","Fundamental completo","1 a 2 SM","79","69714.0"
"11","Novembro","Feminino","Indigena","0-17","Medio incompleto","Sem informacao","20","7275.0"
"11","Novembro","Masculino","Branca","40-49","Medio incompleto","Ate 1 SM","107","50185.0"
"11","Novembro","Feminino","Parda","0-17","Medio incompleto","Ate 1 SM","145","80765.0"
"10","Outubro","Masculino","Parda","50-59","Superior incompleto","Acima 4 SM","33","20323.0"
"10","Outubro","Feminino","Branca","18-29","Fundamental incompleto","Ate 1 SM","51","30142.0"
"10","Outubro","Feminino","Preta","60+","Superior completo","1 a 2 SM","12","8033.0"
"10","Outubro","Masculino","Parda","60+","Pos-graduacao","Acima 4 SM","33","16154.0"
"10","Outubro","Feminino","Parda","40-49","Superior incompleto","Acima 4 SM","14","11237.0"
"10","Outubro","Feminino","Parda","60+","Medio incompleto","Ate 1 SM","41","14738.0"
"10","Outubro","Feminino","Preta","40-49","Pos-graduacao","Acima 4 SM","33","19769.0"
"10","Outubro","Masculino","Preta","40-49","Superior completo","1 a 2 SM","46","30832.0"
"9","Setembro","Feminino","Branca","30-39","Superior completo","Sem informacao","703","446285.0"
"9","Setembro","Feminino","Branca","40-49","Medio incompleto","Ate 1 SM","146","75725.0"
"9","Setembro","Feminino","Branca","30-39","Superior completo","2 a 4 SM","908","595903.0"
"9","Setembro","Masculino","Branca","50-59","Medio completo","Acima 4 SM","282","142223.0"
"9","Setembro","Feminino","Parda","50-59","Fundamental completo","2 a 4 SM","30","15941.0"
"9","Setembro","Masculino","Branca","40-49","Pos-graduacao","Sem informacao","47","28283.0"
"9","Setembro","Feminino","Branca","50-59","Pos-graduacao","Sem informacao","222","103277.0"
"9","Setembro","Feminino","Branca","18-29","Medio completo","Acima 4 SM","13","10408.0"
"9","Setembro","Masculino","Parda","18-29","Medio completo","2 a 4 SM","283","203724.0"
"9","Setembro","Masculino","Parda","40-49","Fundamental completo","Ate 1 SM","303","147504.0"
"9","Setembro","Masculino","Parda","60+","Medio completo","Acima 4 SM","71","29433.0"
"9","Setembro","Feminino","Parda","30-39","Superior completo","Sem informacao","631","334544.0"
"9","Setembro","Feminino","Parda","60+","Medio completo","1 a 2 SM","108","50434.0"
"9","Setembro","Masculino","Parda","50-59","Medio completo","Ate 1 SM","353","172963.0"
"9","Setembro","Masculino","Preta","18-29","Medio completo","1 a 2 SM","334","253715.0"
"9","Setembro","Masculino","Preta","40-49","Fundamental completo","Sem informacao","63","34818.0"
"9","Setembro","Masculino","Branca","40-49","Fundamental incompleto","Acima 4 SM","59","33209.0"
"9","Setembro","Masculino","Branca","40-49","Medio incompleto","Acima 4 SM","38","17193.0"
"9","Setembro","Feminino","Parda","50-59","Fundamental incompleto","Ate 1 SM","903","372443.0"
"9","Setembro","Masculino","Parda","40-49","Superior completo","2 a 4 SM","332","191978.0"
"9","Setembro","Feminino","Preta","30-39","Fundamental incompleto","1 a 2 SM","30","19721.0"
"9","Setembro","Feminino","Branca","60+","Superior incompleto","1 a 2 SM","15","6017.0"
"10","Outubro","Feminino","Parda","18-29","Superior incompleto","Sem informacao","1579","892027.0"
"10","Outubro","Masculino","Parda","40-49","Medio completo","2 a 4 SM","662","412587.0"
"10","Outubro","Feminino","Branca","18-29","Superior incompleto","Sem informacao","1761","1176388.0"
"10","Outubro","Feminino","Preta","0-17","Fundamental incompleto","Sem informacao","1527","940965.0"
"10","Outubro","Masculino","Branca","18-29","Medio completo","1 a 2 SM","1498","1123628.0"
"10","Outubro","Masculino","Branca","50-59","Fundamental completo","1 a 2 SM","366","203907.0"
"10","Outubro","Masculino","Branca","50-59","Fundamental incompleto","Ate 1 SM","788","308725.0"
"10","Outubro","Masculino","Parda","30-39","Medio completo","Acima 4 SM","130","86715.0"
"10","Outubro","Feminino","Parda","50-59","Sem instrucao","Ate 1 SM","85","31086.0"
"10","Outubro","Masculino","Branca","60+","Superior completo","Ate 1 SM","39","22264.0"
"10","Outubro","Feminino","Preta","50-59","Fundamental incompleto","1 a 2 SM","78","41126.0"
"10","Outubro","Masculino","Branca","30-39","Fundamental completo","Ate 1 SM","136","66648.0"
"10","Outubro","Masculino","Amarela","50-59","Superior completo","Acima 4 SM","16","8398.0"
"10","Outubro","Masculino","Amarela","40-49","Pos-graduacao","Acima 4 SM","10","10947.0"
"10","Outubro","Masculino","Preta","50-59","Superior incompleto","Sem informacao","14","9330.0"
"10","Outubro","Feminino","Preta","60+","Superior incompleto","Sem informacao","15","8982.0"
"10","Outubro","Feminino","Amarela","50-59","Pos-graduacao","Sem informacao","2","2002.0"
"10","Outubro","Masculino","Parda","40-49","Superior completo","Ate 1 SM","79","45194.0"
"10","Outubro","Feminino","Parda","40-49","Pos-graduacao","1 a 2 SM","90","43735.0"
"10","Outubro","Masculino","Preta","50-59","Fundamental completo","Ate 1 SM","49","19465.0"
"10","Outubro","Feminino","Amarela","50-59","Medio incompleto","Ate 1 SM","1","1658.0"
"10","Outubro","Feminino","Amarela","40-49","Medio incompleto","Sem informacao","5","4246.0"
"10","Outubro","Masculino","Parda","18-29","Medio incompleto","Acima 4 SM","10","6405.0"
"10","Outubro","Feminino","Preta","50-59","Pos-graduacao","2 a 4 SM","24","14636.0"
"10","Outubro","Masculino","Preta","18-29","Superior completo","2 a 4 SM","33","25817.0"
"10","Outubro","Masculino","Branca","50-59","Sem instrucao","Sem informacao","202","82209.0"
"10","Outubro","Masculino","Amarela","30-39","Medio completo","Sem informacao","8","9340.0"
"9","Setembro","Masculino","Branca","50-59","Medio incompleto","Ate 1 SM","79","43545.0"
"9","Setembro","Feminino","Branca","18-29","Pos-graduacao","Acima 4 SM","61","52371.0"
"9","Setembro","Masculino","Branca","18-29","Pos-graduacao","Acima 4 SM","38","39784.0"
"9","Setembro","Masculino","Parda","0-17","Sem instrucao","Sem informacao","6583","3952059.0"
"9","Setembro","Feminino","Branca","50-59","Medio completo","2 a 4 SM","253","124952.0"
"9","Setembro","Feminino","Preta","0-17","Sem instrucao","Sem informacao","638","464807.0"
"9","Setembro","Feminino","Preta","60+","Superior completo","Sem informacao","118","55199.0"
"9","Setembro","Masculino","Preta","18-29","Fundamental completo","Sem informacao","78","49477.0"
"9","Setembro","Masculino","Preta","30-39","Medio completo","2 a 4 SM","149","107649.0"
"9","Setembro","Masculino","Branca","18-29","Medio completo","Acima 4 SM","47","27586.0"
"9","Setembro","Feminino","Branca","30-39","Superior incompleto","1 a 2 SM","308","206664.0"
"9","Setembro","Masculino","Preta","0-17","Medio incompleto","Sem informacao","395","215057.0"
"9","Setembro","Masculino","Preta","18-29","Medio completo","Ate 1 SM","344","228055.0"
"9","Setembro","Feminino","Preta","60+","Medio completo","1 a 2 SM","40","18737.0"
"9","Setembro","Masculino","Parda","60+","Sem instrucao","Sem informacao","2441","860761.0"
"9","Setembro","Masculino","Branca","60+","Superior completo","1 a 2 SM","101","53464.0"
"9","Setembro","Masculino","Branca","40-49","Fundamental completo","2 a 4 SM","178","96889.0"
"9","Setembro","Masculino","Parda","30-39","Medio incompleto","2 a 4 SM","131","77893.0"
