"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"11","Novembro","Masculino","Indigena","30-39","Fundamental incompleto","Sem informacao","9","5096.0"
"11","Novembro","Feminino","Preta","18-29","Pos-graduacao","Sem informacao","9","5069.0"
"10","Outubro","Feminino","Parda","40-49","Sem instrucao","1 a 2 SM","13","7478.0"
"11","Novembro","Masculino","Branca","30-39","Fundamental completo","Acima 4 SM","20","10685.0"
"11","Novembro","Feminino","Branca","0-17","Fundamental incompleto","Ate 1 SM","27","12145.0"
"11","Novembro","Feminino","Preta","18-29","Sem instrucao","Sem informacao","10","4806.0"
"11","Novembro","Feminino","Amarela","30-39","Fundamental incompleto","Ate 1 SM","6","3055.0"
"11","Novembro","Feminino","Amarela","40-49","Pos-graduacao","Ate 1 SM","2","1636.0"
"11","Novembro","Masculino","Branca","30-39","Sem instrucao","Ate 1 SM","19","9693.0"
"11","Novembro","Feminino","Branca","18-29","Pos-graduacao","Ate 1 SM","27","14381.0"
"11","Novembro","Feminino","Branca","30-39","Medio incompleto","Acima 4 SM","6","4668.0"
"10","Outubro","Feminino","Indigena","40-49","Fundamental incompleto","Ate 1 SM","5","2297.0"
"10","Outubro","Feminino","Amarela","40-49","Pos-graduacao","Ate 1 SM","1","919.0"
"10","Outubro","Masculino","Indigena","60+","Fundamental completo","Sem informacao","5","2374.0"
"11","Novembro","Masculino","Indigena","60+","Medio completo","Ate 1 SM","2","903.0"
"11","Novembro","Feminino","Indigena","40-49","Medio completo","1 a 2 SM","6","2383.0"
"11","Novembro","Feminino","Amarela","30-39","Superior completo","Ate 1 SM","9","4120.0"
"11","Novembro","Masculino",,"30-39","Fundamental incompleto","1 a 2 SM","1","249.0"
"11","Novembro","Masculino","Branca","0-17","Superior incompleto","Sem informacao","10","4364.0"
"11","Novembro","Feminino","Indigena","30-39","Superior completo","Sem informacao","8","7394.0"
"11","Novembro","Masculino","Parda","40-49","Pos-graduacao","Ate 1 SM","7","3401.0"
"10","Outubro","Masculino","Amarela","30-39","Superior completo","Ate 1 SM","1","338.0"
"10","Outubro","Masculino","Indigena","40-49","Fundamental completo","Ate 1 SM","5","1857.0"
"11","Novembro","Feminino","Indigena","60+","Fundamental completo","Sem informacao","10","2893.0"
"11","Novembro","Masculino","Amarela","40-49","Medio completo","Ate 1 SM","10","5338.0"
"11","Novembro","Masculino","Amarela","30-39","Superior completo","Ate 1 SM","1","351.0"
"11","Novembro","Feminino","Preta","18-29","Pos-graduacao","2 a 4 SM","11","5677.0"
"11","Novembro","Feminino","Amarela","50-59","Medio completo","1 a 2 SM","4","1513.0"
"11","Novembro","Feminino","Amarela","18-29","Fundamental completo","Ate 1 SM","1","505.0"
"10","Outubro","Feminino","Amarela","40-49","Medio completo","Sem informacao","27","13353.0"
"10","Outubro","Feminino","Amarela","30-39","Fundamental completo","Sem informacao","3","2285.0"
"10","Outubro","Feminino","Amarela","30-39","Pos-graduacao","Acima 4 SM","13","8378.0"
"11","Novembro","Masculino","Amarela","50-59","Medio completo","Acima 4 SM","2","669.0"
"11","Novembro","Masculino","Preta","60+","Medio completo","Acima 4 SM","11","7048.0"
"11","Novembro","Feminino","Indigena","50-59","Superior incompleto","Sem informacao","2","820.0"
"11","Novembro","Masculino","Indigena","40-49","Superior completo","1 a 2 SM","3","2255.0"
"10","Outubro","Feminino","Branca","0-17","Superior incompleto","Sem informacao","25","18604.0"
"10","Outubro","Feminino","Parda","60+","Fundamental completo","Acima 4 SM","3","832.0"
"11","Novembro","Feminino","Parda","60+","Superior incompleto","Ate 1 SM","6","2279.0"
"9","Setembro","Feminino","Preta","60+","Fundamental incompleto","2 a 4 SM","6","2070.0"
"11","Novembro","Masculino","Amarela","60+","Sem instrucao","Sem informacao","12","3313.0"
"11","Novembro","Masculino","Indigena","40-49","Medio incompleto","1 a 2 SM","5","1874.0"
"9","Setembro","Feminino","Indigena","18-29","Medio completo","Ate 1 SM","19","8271.0"
"9","Setembro","Feminino","Indigena","30-39","Medio completo","Sem informacao","34","14871.0"
"11","Novembro","Masculino","Amarela","30-39","Medio completo","Ate 1 SM","16","12847.0"
"11","Novembro","Feminino","Indigena","18-29","Sem instrucao","Sem informacao","1","241.0"
"9","Setembro","Feminino","Parda","60+","Superior incompleto","Ate 1 SM","3","958.0"
"9","Setembro","Masculino","Preta","60+","Pos-graduacao","Acima 4 SM","8","2242.0"
"10","Outubro","Masculino","Preta","40-49","Superior incompleto","Acima 4 SM","16","11715.0"
"10","Outubro","Feminino","Amarela","50-59","Superior completo","1 a 2 SM","8","5360.0"
"10","Outubro","Feminino","Preta","18-29","Pos-graduacao","Ate 1 SM","6","4076.0"
"10","Outubro","Feminino","Preta","60+","Superior completo","Acima 4 SM","11","8067.0"
"10","Outubro","Masculino","Preta","60+","Medio incompleto","1 a 2 SM","8","3750.0"
"9","Setembro","Masculino","Amarela","30-39","Medio completo","2 a 4 SM","5","3278.0"
"9","Setembro","Feminino","Branca","60+","Medio incompleto","2 a 4 SM","12","6620.0"
"9","Setembro","Masculino","Preta","50-59","Fundamental incompleto","Acima 4 SM","5","1741.0"
"10","Outubro","Feminino","Amarela","18-29","Fundamental completo","1 a 2 SM","1","442.0"
"10","Outubro","Feminino","Preta","60+","Superior incompleto","2 a 4 SM","2","596.0"
"10","Outubro","Feminino","Parda","18-29","Pos-graduacao","Acima 4 SM","10","4460.0"
"9","Setembro","Feminino","Preta","60+","Superior incompleto","Ate 1 SM","4","5694.0"
