"v1013","mes_nome","uf","regiao","n_amostra","populacao_estimada","pct_sem_plano","pct_ate_1_sm_entre_renda_informada","pct_informal_entre_ocupados_com_info","pct_baixa_protecao_domiciliar","media_itens_protecao"
"9","Setembro","53","Centro-Oeste","6386","3060379.0","63.1565","20.4201","19.955","0.1995","4.4798"
"10","Outubro","50","Centro-Oeste","8730","2747059.0","72.5217","22.33","24.8019","0.129","4.2762"
"9","Setembro","22","Nordeste","8424","3282199.0","84.5434","57.1252","36.1702","0.4501","4.2551"
"9","Setembro","23","Nordeste","17568","9194616.0","83.5296","56.3013","35.7916","0.1963","4.2197"
"11","Novembro","52","Centro-Oeste","14195","7149604.0","71.2347","32.1935","28.9388","0.1015","4.2835"
"9","Setembro","29","Nordeste","17506","1.4921429E7","84.3928","52.8269","36.8592","0.2312","4.2318"
"11","Novembro","51","Centro-Oeste","11359","3485960.0","79.9638","21.3682","25.9052","0.0985","4.3177"
"11","Novembro","50","Centro-Oeste","8657","2749494.0","72.4588","23.745","25.2711","0.137","4.2882"
"9","Setembro","16","Norte","2847","856552.0","93.375","48.8535","26.1489","0.1082","4.467"
"10","Outubro","24","Nordeste","7738","3542377.0","80.9632","50.3716","27.9457","0.4357","4.264"
"10","Outubro","26","Nordeste","16867","9575759.0","81.6889","51.7941","29.6575","0.2343","4.2943"
"10","Outubro","27","Nordeste","11497","3348782.0","88.402","54.2998","30.7067","0.6177","4.2241"
"9","Setembro","42","Sul","23948","7257021.0","73.7874","13.7632","13.5217","0.1108","4.5075"
"10","Outubro","16","Norte","2358","857863.0","92.4996","48.7803","24.6145","0.0","4.4465"
"9","Setembro","51","Centro-Oeste","11638","3479197.0","80.7095","20.9498","24.7011","0.3997","4.3199"
"9","Setembro","11","Norte","5178","1789465.0","88.8068","31.735","25.7901","0.2042","4.292"
"9","Setembro","12","Norte","6414","880342.0","93.1464","43.419","25.8898","0.5744","4.1446"
"10","Outubro","29","Nordeste","16741","1.4925989E7","84.4165","53.4749","37.7061","0.194","4.2337"
"11","Novembro","23","Nordeste","16182","9203546.0","83.1182","56.5994","34.8169","0.1975","4.2111"
"9","Setembro","17","Norte","5189","1580525.0","86.0096","48.2705","38.0812","0.1122","4.2156"
"9","Setembro","21","Nordeste","20659","7087812.0","93.6687","58.5443","45.1514","0.2669","4.1979"
"10","Outubro","28","Nordeste","7977","2324360.0","81.9662","55.7748","37.2556","0.1517","4.2956"
"11","Novembro","22","Nordeste","8480","3283487.0","84.5724","56.1174","36.7052","0.3355","4.2397"
"11","Novembro","11","Norte","6001","1792599.0","88.617","31.5636","25.402","0.0908","4.3026"
"11","Novembro","12","Norte","6102","882362.0","92.8822","44.0923","26.4372","0.459","4.1812"
"11","Novembro","17","Norte","5087","1583341.0","85.7769","47.3023","39.7951","0.076","4.2281"
"10","Outubro","25","Nordeste","9768","4022648.0","82.1113","52.6688","36.3519","0.1743","4.2478"
"11","Novembro","21","Nordeste","20404","7094188.0","92.6931","58.621","44.3902","0.1517","4.1607"
