"v1013","mes_nome","faixa_etaria","raca","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_diabetes","pct_hipertensao","pct_asma","pct_doenca_coracao","pct_depressao","pct_cancer","pct_alguma_comorbidade","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"9","Setembro","60+","Parda","Ate 1 SM","Sim","226","104975.0","17.9582","44.3683","6.2211","8.2426","2.4774","2.4814","54.434","0.0",
"9","Setembro","60+","Parda","Acima 4 SM","Nao","141","48966.0","16.2442","29.7882","9.1277","6.9966","2.5052","0.5518","44.7338","44.8197","0.0"
"9","Setembro","30-39","Branca","Sem informacao","Sim","1201","871954.0","2.1177","4.1328","7.489","1.2807","5.1986","1.7237","18.3292","0.0",
"9","Setembro","50-59","Parda","Ate 1 SM","Sim","433","202034.0","11.0885","30.7009","3.314","4.1835","4.9461","1.7907","38.6891","0.0",
"9","Setembro","18-29","Parda","Acima 4 SM","Nao","110","67373.0","0.0","2.9247","2.4104","0.0","6.8195","0.0","12.1546","0.0",
"9","Setembro","50-59","Indigena","Acima 4 SM","Nao","5","1367.0","10.4609","72.9802","0.0","20.9562","0.0","0.0","83.4411",,
"9","Setembro","60+","Branca","2 a 4 SM",,"3","886.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","30-39","Preta","Sem informacao","Nao","1709","962393.0","2.6257","7.8965","4.2381","0.9888","3.2791","0.7101","16.5441","0.0",
"9","Setembro","18-29","Branca","1 a 2 SM","Nao","4250","2839147.0","0.5274","1.1226","5.8117","0.4494","2.3551","0.0512","9.4801","0.0",
"9","Setembro","0-17","Preta","Ate 1 SM","Nao","88","48921.0","0.0","0.0","6.5064","0.2868","0.3518","0.0","7.145",,
"9","Setembro","30-39","Branca","1 a 2 SM","Sim","1857","1384517.0","1.8395","5.6224","6.6217","1.0985","3.5238","0.6328","16.1655","1.9851","0.0"
"9","Setembro","50-59","Branca","Acima 4 SM","Nao","564","266652.0","8.4763","21.6354","6.133","3.2398","4.8194","1.2888","35.2712","0.0",
"9","Setembro","40-49","Parda","Sem informacao",,"66","30788.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","0-17","Preta","Sem informacao","Sim","916","691006.0","0.0","0.102","10.8551","0.7211","0.6301","0.0","12.1788","0.0",
"9","Setembro","18-29","Indigena","1 a 2 SM","Nao","32","19960.0","0.0","0.0","0.0","0.0","1.936","0.0","1.936",,
"9","Setembro","0-17","Preta","1 a 2 SM","Nao","6","2036.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",,
"9","Setembro","18-29","Branca","1 a 2 SM","Sim","1736","1449160.0","0.5933","1.4374","8.2239","0.7702","2.2174","0.0975","12.5578","1.4859","0.0"
"9","Setembro","50-59","Parda","1 a 2 SM","Nao","3121","1455469.0","8.2311","23.4324","3.1686","2.4873","2.2983","0.5312","31.9635","21.2476","69.8491"
"9","Setembro","40-49","Branca","1 a 2 SM","Nao","3991","2245967.0","4.0817","13.6147","3.9257","1.3821","3.2677","0.5127","21.7599","1.5538","0.0"
"9","Setembro","50-59","Parda","Sem informacao","Sim","1350","662815.0","15.3142","36.0444","6.1917","5.4369","7.2286","3.317","49.1202","2.5027","0.0"
"9","Setembro","18-29","Amarela","1 a 2 SM","Nao","55","43851.0","0.0","1.9003","1.3158","0.0","0.0","0.0","3.2161","0.0",
"9","Setembro","40-49","Branca","Ate 1 SM","Sim","417","224534.0","2.7562","11.8242","5.1887","2.0775","6.1582","1.839","21.8298","0.0",
"9","Setembro","18-29","Branca","Acima 4 SM","Sim","400","368943.0","0.0","0.7689","8.6476","0.1816","2.6105","0.4591","11.1748","0.0",
"9","Setembro","60+","Preta","Acima 4 SM","Nao","23","6810.0","16.5711","43.0762","0.0","7.8998","3.1383","0.0","43.0762","0.0",
"9","Setembro","40-49","Preta","Sem informacao",,"8","4370.0",,,,,,,,,
"9","Setembro","60+","Preta","2 a 4 SM","Sim","48","25446.0","21.3153","40.8336","4.5807","6.0958","2.0585","0.9129","52.4775",,
"9","Setembro","0-17","Preta","Sem informacao","Nao","4657","2789344.0","0.2301","0.1442","6.4841","0.2302","0.2262","0.0716","7.0576","7.1212","0.0"
"9","Setembro","30-39","Preta","Sem informacao","Sim","165","114934.0","0.565","7.9581","2.3084","0.2546","3.6962","0.9206","14.1027","0.0",
"9","Setembro","60+","Preta","Ate 1 SM","Nao","327","142198.0","15.1082","43.6096","3.939","5.104","3.4601","1.0053","49.1636","0.0",
"9","Setembro","50-59","Amarela","Acima 4 SM","Nao","11","6506.0","0.0","6.177","0.0","0.0","0.0","0.0","6.177",,
