"v1013","mes_nome","categoria_ocupacional","formalidade_trabalho","grau_isolamento","n_amostra","populacao_estimada","pct_trabalhou","pct_home_office","pct_internado_entre_atendidos"
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Sem restricao","49","39136.0","90.8967","100.0",
"10","Outubro","Empregador","Nao aplicavel/Sem informacao","Sem restricao","379","248188.0","99.2665","41.4301","0.0"
"10","Outubro",,"Nao aplicavel/Sem informacao","Sem restricao","8656","4726318.0","0.0",,"20.8444"
"10","Outubro","Domestico","Formal","Pouca restricao","1622","934904.0","97.5922",,"0.0"
"10","Outubro","Domestico","Informal","Sem restricao","243","149481.0","94.6479",,"0.0"
"11","Novembro","Setor privado","Formal","Pouca restricao","38771","2.5733128E7","97.6004","74.3251","3.9893"
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Pouca restricao","1933","845752.0","98.4872","5.9112","0.0"
"10","Outubro","Setor privado","Formal","Pouca restricao","37885","2.5220026E7","97.3729","74.7364","1.6204"
"10","Outubro","Setor publico","Informal","Pouca restricao","3025","1487725.0","94.3378","84.5466","0.0"
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao","Sem restricao","250","99276.0","98.914",,
"11","Novembro","Militar","Nao aplicavel/Sem informacao","Ficou em casa","57","35394.0","92.2631","82.4425","0.0"
"10","Outubro","Setor publico","Formal","Ficou em casa","4552","2373679.0","72.3135","98.1509","18.0577"
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao","So saiu por saude","162","45484.0","95.1875","79.1519","0.0"
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao","So saiu por saude","452","167739.0","96.1971",,"42.9796"
"11","Novembro","Empregador","Nao aplicavel/Sem informacao","Pouca restricao","3450","2028790.0","99.0735","80.1051","2.8916"
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Pouca restricao","2080","901535.0","99.0745","18.86","0.0"
"10","Outubro","Empregador","Nao aplicavel/Sem informacao","Pouca restricao","3430","2007717.0","99.2903","78.2071","10.9625"
"10","Outubro","Setor publico","Formal","So saiu por saude","453","230594.0","54.836","97.7015","8.6632"
"11","Novembro","Domestico","Formal","Ficou em casa","386","192974.0","80.0752",,"18.5676"
"10","Outubro",,"Nao aplicavel/Sem informacao","Ficou em casa","121245","6.5495037E7","0.0",,"13.0275"
"10","Outubro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Pouca restricao","538","317927.0","95.2894","30.2241","0.0"
"11","Novembro","Conta propria","Nao aplicavel/Sem informacao","So saiu por saude","943","446186.0","80.8359","74.6423","1.2581"
"10","Outubro","Setor privado","Informal","Sem restricao","1015","598059.0","96.6568","32.9084","0.0"
"11","Novembro",,"Nao aplicavel/Sem informacao","Sem restricao","9186","5054127.0","0.0",,"1.1107"
"11","Novembro","Domestico","Formal","So saiu por saude","42","27992.0","47.9937",,"0.0"
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Ficou em casa","60","29912.0","77.761","33.4253",
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao",,"15","5932.0","100.0",,
"11","Novembro","Domestico","Informal","Sem restricao","277","145605.0","93.8663",,
"11","Novembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Sem restricao","221","92338.0","98.9087","0.0",
"11","Novembro","Militar","Nao aplicavel/Sem informacao","Pouca restricao","460","258513.0","97.6696","82.4908","0.0"
"10","Outubro","Setor publico","Formal","Sem restricao","814","425292.0","87.5696","82.8214","0.0"
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Pouca restricao","572","332377.0","95.7684","22.5301","0.0"
"10","Outubro","Conta propria","Nao aplicavel/Sem informacao","So saiu por saude","999","469525.0","82.7913","70.448","5.8264"
"10","Outubro","Setor publico","Informal","Sem restricao","259","128707.0","91.5354","76.8269","0.0"
"10","Outubro","Domestico","Formal","So saiu por saude","53","34204.0","47.9887",,"64.2209"
"11","Novembro","Setor privado","Informal","Sem restricao","1021","582641.0","96.1811","49.7566","0.0"
"10","Outubro","Setor privado","Formal","So saiu por saude","684","435547.0","58.8714","98.161","4.6833"
"11","Novembro","Setor publico","Formal","Ficou em casa","4230","2183048.0","73.4375","98.4597","16.2681"
"11","Novembro","Militar","Nao aplicavel/Sem informacao","Sem restricao","48","28784.0","93.9152","0.0",
"11","Novembro","Empregador","Nao aplicavel/Sem informacao","Ficou em casa","461","287038.0","94.4191","97.9303","0.0"
"11","Novembro",,"Nao aplicavel/Sem informacao",,"986","566856.0","0.0",,"23.5078"
"10","Outubro","Setor publico","Informal",,"7","2358.0","100.0","100.0",
"11","Novembro","Empregador","Nao aplicavel/Sem informacao","Sem restricao","388","250275.0","99.1848","58.1465","0.0"
"10","Outubro",,"Nao aplicavel/Sem informacao",,"1301","769489.0","0.0",,"87.0852"
"11","Novembro",,"Nao aplicavel/Sem informacao","Ficou em casa","120572","6.4822992E7","0.0",,"12.1918"
"11","Novembro","Empregador","Nao aplicavel/Sem informacao","So saiu por saude","79","38715.0","72.2788","100.0","3.2575"
"10","Outubro","Setor privado","Informal",,"28","14756.0","94.0405","75.2936",
"11","Novembro","Setor privado","Formal","Sem restricao","2441","1713471.0","96.9429","80.1971","0.0"
"11","Novembro","Domestico","Informal","So saiu por saude","90","49753.0","66.0683",,"0.0"
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao","Pouca restricao","2218","855119.0","98.5574",,"0.0"
"11","Novembro","Conta propria","Nao aplicavel/Sem informacao","Sem restricao","2729","1541272.0","97.1823","20.7096","0.0"
"10","Outubro","Militar","Nao aplicavel/Sem informacao","Pouca restricao","462","270491.0","98.7446","57.9968","0.0"
"10","Outubro","Fora do mercado","Nao aplicavel/Sem informacao","Ficou em casa","2236","849513.0","96.6742",,"0.0"
"11","Novembro","Domestico","Informal","Pouca restricao","3994","2125734.0","97.9251",,"0.0"
"11","Novembro","Setor privado","Informal","So saiu por saude","229","128728.0","68.4127","82.8781","18.0809"
"10","Outubro","Setor publico","Formal","Pouca restricao","11628","6209220.0","93.3934","90.8825","1.5501"
"11","Novembro","Setor publico","Formal","Sem restricao","830","454315.0","91.4765","85.1704","0.0"
"10","Outubro","Setor privado","Formal","Ficou em casa","6513","4411260.0","80.8915","95.1614","1.7515"
"10","Outubro","Conta propria","Nao aplicavel/Sem informacao","Sem restricao","2646","1488530.0","97.745","24.4076","0.0"
"10","Outubro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Sem restricao","216","86628.0","99.158","0.0","0.0"
"9","Setembro","Domestico","Formal","Pouca restricao","1625","927243.0","97.5547",,"0.0"
"9","Setembro","Militar","Nao aplicavel/Sem informacao","Sem restricao","33","17822.0","96.2388","0.0",
"9","Setembro",,"Nao aplicavel/Sem informacao","Sem restricao","5684","3117395.0","0.0",,"5.8084"
"9","Setembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Sem restricao","125","55732.0","99.3311","0.0","0.0"
"9","Setembro","Setor privado","Formal",,"132","87146.0","82.9412","100.0",
"9","Setembro","Setor privado","Informal",,"48","27309.0","96.7235","88.2947",
"11","Novembro","Setor privado","Informal",,"24","18276.0","90.3151","11.1385",
"9","Setembro","Setor privado","Formal","So saiu por saude","940","617026.0","60.8926","98.6672","11.3737"
"9","Setembro","Familiar nao remunerado","Nao aplicavel/Sem informacao","Ficou em casa","1257","443748.0","95.0248","32.7901","0.0"
"9","Setembro","Empregador","Nao aplicavel/Sem informacao","Sem restricao","259","156400.0","99.1574","84.4206","0.0"
"9","Setembro","Conta propria","Nao aplicavel/Sem informacao",,"156","81854.0","86.4541","68.9263","100.0"
"9","Setembro","Empregador","Nao aplicavel/Sem informacao","Pouca restricao","3613","2103997.0","99.2321","79.4518","6.0131"
"9","Setembro","Conta propria","Nao aplicavel/Sem informacao","So saiu por saude","1363","579317.0","79.0589","75.3653","9.8935"
"9","Setembro","Militar","Nao aplicavel/Sem informacao","So saiu por saude","9","5192.0","86.771","100.0",
"9","Setembro","Setor publico","Formal",,"44","19637.0","72.6147","100.0",
"9","Setembro","Domestico","Informal","So saiu por saude","147","70283.0","67.1615",,"0.0"
"9","Setembro","Domestico","Formal","Ficou em casa","401","198924.0","76.1362",,"0.0"
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","So saiu por saude","3","4356.0","45.6521",,"0.0"
"9","Setembro","Setor privado","Informal","Sem restricao","639","358379.0","97.2636","28.7927","0.0"
"9","Setembro","Conta propria","Nao aplicavel/Sem informacao","Sem restricao","1779","1047141.0","97.4234","29.8379","0.0"
"11","Novembro","Policial ou bombeiro","Nao aplicavel/Sem informacao","Sem restricao","55","35208.0","97.4157","55.9109",
"9","Setembro",,"Nao aplicavel/Sem informacao","Pouca restricao","42207","2.2635211E7","0.0",,"8.6745"
"9","Setembro","Setor privado","Formal","Sem restricao","1579","1098184.0","94.5403","76.2835","19.5998"
"9","Setembro","Setor publico","Informal",,"15","8587.0","89.6288","100.0",
"9","Setembro","Setor privado","Informal","Pouca restricao","10686","6101707.0","98.3766","44.9452","6.5111"
